x,y,u,a
46,120,584,125
47,120,584,129
48,120,584,133
49,120,584,137
50,120,584,141
51,120,584,145
52,120,584,149
53,120,584,153
54,120,584,157
55,120,584,161
56,120,584,165
57,120,584,169
58,120,584,173
59,120,584,177
60,120,584,181
61,120,584,185
62,120,584,189
63,120,584,193
64,120,584,197
65,120,584,201
66,120,584,205
67,120,584,209
68,120,584,213
69,120,584,217
70,120,584,221
71,120,584,225
72,120,584,229
73,120,584,233
74,120,584,237
75,120,584,241
76,120,584,245
77,120,584,249
78,120,584,253
79,120,584,257
80,120,584,261
81,120,584,265
82,120,584,269
83,120,584,273
84,120,584,277
85,120,584,281
86,120,584,285
87,120,584,289
88,120,584,293
89,120,584,297
90,120,584,301
91,120,584,305
92,120,584,309
93,120,584,313
94,120,584,317
95,120,584,321
96,120,584,325
97,120,584,329
98,120,584,333
99,120,584,337
100,120,584,341
101,120,584,345
102,120,584,349
103,120,584,353
104,120,584,357
105,120,584,361
106,120,584,365
107,120,584,369
108,120,584,373
109,120,584,377
110,120,584,381
111,120,584,385
112,120,584,389
113,120,584,393
114,120,584,397
115,120,584,401
116,120,584,405
117,120,584,409
118,120,584,413
119,120,584,417
120,120,584,421
121,120,584,425
122,120,584,429
123,120,584,433
124,120,584,437
234,120,586,1
233,120,586,5
232,120,586,9
231,120,586,13
230,120,586,17
229,120,586,21
228,120,586,25
227,120,586,29
226,120,586,33
225,120,586,37
224,120,586,41
223,120,586,45
222,120,586,49
221,120,586,53
220,120,586,57
219,120,586,61
218,120,586,65
217,120,586,69
216,120,586,73
215,120,586,77
214,120,586,81
213,120,586,85
212,120,586,89
211,120,586,93
210,120,586,97
209,120,586,101
208,120,586,105
207,120,586,109
206,120,586,113
205,120,586,117
204,120,586,121
203,120,586,125
202,120,586,129
201,120,586,133
200,120,586,137
199,120,586,141
198,120,586,145
197,120,586,149
196,120,586,153
195,120,586,157
194,120,586,161
193,120,586,165
192,120,586,169
191,120,586,173
190,120,586,177
189,120,586,181
188,120,586,185
187,120,586,189
186,120,586,193
185,120,586,197
184,120,586,201
183,120,586,205
182,120,586,209
181,120,586,213
180,120,586,217
179,120,586,221
178,120,586,225
177,120,586,229
176,120,586,233
175,120,586,237
174,120,586,241
173,120,586,245
172,120,586,249
171,120,586,253
170,120,586,257
169,120,586,261
168,120,586,265
167,120,586,269
166,120,586,273
165,120,586,277
164,120,586,281
163,120,586,285
162,120,586,289
161,120,586,293
160,120,586,297
159,120,586,301
158,120,586,305
157,120,586,309
156,120,586,313
155,120,586,317
154,120,586,321
153,120,586,325
152,120,586,329
151,120,586,333
150,120,586,337
149,120,586,341
148,120,586,345
147,120,586,349
146,120,586,353
145,120,586,357
144,120,586,361
143,120,586,365
142,120,586,369
141,120,586,373
140,120,586,377
139,120,586,381
138,120,586,385
137,120,586,389
136,120,586,393
135,120,586,397
134,120,586,401
133,120,586,405
132,120,586,409
131,120,586,413
130,120,586,417
129,120,586,421
128,120,586,425
127,120,586,429
126,120,586,433
125,120,586,437
100,100,592,1
101,100,592,5
102,100,592,9
103,100,592,13
104,100,592,17
105,100,592,21
106,100,592,25
107,100,592,29
108,100,592,33
109,100,592,37
110,100,592,41
111,100,592,45
112,100,592,49
113,100,592,53
114,100,592,57
115,100,592,61
116,100,592,65
117,100,592,69
118,100,592,73
119,100,592,77
120,100,592,81
121,100,592,85
122,100,592,89
123,100,592,93
124,100,592,97
125,100,592,101
126,100,592,105
127,100,592,109
128,100,592,113
129,100,592,117
130,100,592,121
131,100,592,125
132,100,592,129
133,100,592,133
134,100,592,137
135,100,592,141
136,100,592,145
137,100,592,149
138,100,592,153
139,100,592,157
140,100,592,161
141,100,592,165
142,100,592,169
143,100,592,173
144,100,592,177
145,100,592,181
146,100,592,185
147,100,592,189
148,100,592,193
149,100,592,197
150,100,592,201
151,100,592,205
152,100,592,209
153,100,592,213
154,100,592,217
155,100,592,221
156,100,592,225
157,100,592,229
158,100,592,233
159,100,592,237
160,100,592,241
161,100,592,245
162,100,592,249
163,100,592,253
164,100,592,257
165,100,592,261
166,100,592,265
167,100,592,269
168,100,592,273
169,100,592,277
170,100,592,281
171,100,592,285
172,100,592,289
173,100,592,293
174,100,592,297
175,100,592,301
176,100,592,305
177,100,592,309
178,100,592,313
60,105,590,1
61,105,590,5
62,105,590,9
63,105,590,13
64,105,590,17
65,105,590,21
66,105,590,25
67,105,590,29
68,105,590,33
69,105,590,37
70,105,590,41
71,105,590,45
72,105,590,49
73,105,590,53
74,105,590,57
75,105,590,61
76,105,590,65
77,105,590,69
78,105,590,73
79,105,590,77
80,105,590,81
81,105,590,85
82,105,590,89
83,105,590,93
84,105,590,97
85,105,590,101
86,105,590,105
87,105,590,109
88,105,590,113
89,105,590,117
90,105,590,121
91,105,590,125
92,105,590,129
93,105,590,133
94,105,590,137
95,105,590,141
96,105,590,145
97,105,590,149
98,105,590,153
99,105,590,157
100,105,590,161
101,105,590,165
102,105,590,169
20,110,588,1
21,110,588,5
22,110,588,9
23,110,588,13
24,110,588,17
25,110,588,21
26,110,588,25
27,110,588,29
28,110,588,33
29,110,588,37
30,110,588,41
31,110,588,45
32,110,588,49
33,110,588,53
34,110,588,57
35,110,588,61
36,110,588,65
37,110,588,69
38,110,588,73
39,110,588,77
40,110,588,81
41,110,588,85
42,110,588,89
43,110,588,93
44,110,588,97
45,110,588,101
46,110,588,105
47,110,588,109
48,110,588,113
49,110,588,117
50,110,588,121
51,110,588,125
52,110,588,129
53,110,588,133
54,110,588,137
55,110,588,141
56,110,588,145
57,110,588,149
58,110,588,153
59,110,588,157
60,110,588,161
61,110,588,165
62,110,588,169
63,110,588,173
160,105,594,1
161,105,594,5
162,105,594,9
163,105,594,13
164,105,594,17
165,105,594,21
166,105,594,25
167,105,594,29
168,105,594,33
169,105,594,37
170,105,594,41
171,105,594,45
172,105,594,49
173,105,594,53
174,105,594,57
175,105,594,61
176,105,594,65
177,105,594,69
178,105,594,73
179,105,594,77
180,105,594,81
181,105,594,85
182,105,594,89
183,105,594,93
184,105,594,97
185,105,594,101
186,105,594,105
187,105,594,109
188,105,594,113
189,105,594,117
190,105,594,121
191,105,594,125
192,105,594,129
193,105,594,133
194,105,594,137
195,105,594,141
196,105,594,145
197,105,594,149
198,105,594,153
199,105,594,157
200,105,594,161
201,105,594,165
202,105,594,169
200,110,596,1
201,110,596,5
202,110,596,9
203,110,596,13
204,110,596,17
205,110,596,21
206,110,596,25
207,110,596,29
208,110,596,33
209,110,596,37
210,110,596,41
211,110,596,45
212,110,596,49
213,110,596,53
214,110,596,57
215,110,596,61
216,110,596,65
217,110,596,69
218,110,596,73
219,110,596,77
220,110,596,81
221,110,596,85
222,110,596,89
223,110,596,93
224,110,596,97
225,110,596,101
226,110,596,105
227,110,596,109
228,110,596,113
229,110,596,117
230,110,596,121
231,110,596,125
232,110,596,129
233,110,596,133
234,110,596,137
235,110,596,141
236,110,596,145
237,110,596,149
238,110,596,153
239,110,596,157
240,110,596,161
241,110,596,165
242,110,596,169
243,110,596,173
